Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1997-01-01,1997-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,12.754500,Fc
IDN,1998-01-01,1998-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,22.354900,Fc
IDN,1999-01-01,1999-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,25.520600,Fc
IDN,2000-01-01,2000-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,27.977500,Fc
IDN,2001-01-01,2001-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,31.977100,Fc
IDN,2002-01-01,2002-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,33.862500,Fc
IDN,2003-01-01,2003-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,35.720600,Fc
IDN,2004-01-01,2004-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,38.775000,Fc
IDN,2005-01-01,2005-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,44.332200,Fc
IDN,2006-01-01,2006-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,50.577400,Fc
IDN,2007-01-01,2007-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,56.271700,Fc
IDN,2008-01-01,2008-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,66.484900,Fc
IDN,2009-01-01,2009-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,71.986300,Fc
IDN,2010-01-01,2010-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,77.930400,Fc
IDN,2011-01-01,2011-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,83.748600,Fc
IDN,2012-01-01,2012-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,86.892500,Fc
IDN,2013-01-01,2013-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,91.207500,Fc
IDN,2014-01-01,2014-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,96.172100,Fc
IDN,2015-01-01,2015-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.000000,Fc
IDN,2016-01-01,2016-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,102.439000,Fc
IDN,2017-01-01,2017-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,106.836000,Fc
IDN,2018-01-01,2018-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,110.917000,Fc
IDN,2019-01-01,2019-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,112.697000,Fc
IDN,1970-01-01,1970-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,15.831900,Fc
IDN,1971-01-01,1971-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,15.535100,Fc
IDN,1972-01-01,1972-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,16.664200,Fc
IDN,1973-01-01,1973-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,22.152000,Fc
IDN,1974-01-01,1974-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,32.632200,Fc
IDN,1975-01-01,1975-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,36.701300,Fc
IDN,1976-01-01,1976-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,42.008900,Fc
IDN,1977-01-01,1977-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,47.472800,Fc
IDN,1978-01-01,1978-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,49.445100,Fc
IDN,1979-01-01,1979-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,46.485300,Fc
IDN,1980-01-01,1980-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,59.659400,Fc
IDN,1981-01-01,1981-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,70.165200,Fc
IDN,1982-01-01,1982-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,70.454600,Fc
IDN,1983-01-01,1983-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,58.538900,Fc
IDN,1984-01-01,1984-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,56.159900,Fc
IDN,1985-01-01,1985-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,54.639400,Fc
IDN,1986-01-01,1986-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,47.306700,Fc
IDN,1987-01-01,1987-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,42.759500,Fc
IDN,1988-01-01,1988-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,47.268100,Fc
