Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
IDN,2019-01-01,2019-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2019,2019,7021,Annual value,USD,641.500000,
IDN,1991-01-01,1991-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,11.490000,Fc
IDN,1992-01-01,1992-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,11.710000,Fc
IDN,1993-01-01,1993-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,19.160000,Fc
IDN,1994-01-01,1994-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,15.050000,Fc
IDN,1995-01-01,1995-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,17.430000,Fc
IDN,1996-01-01,1996-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,18.020000,Fc
IDN,1997-01-01,1997-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,19.340000,Fc
IDN,1998-01-01,1998-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,22.450000,Fc
IDN,1999-01-01,1999-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,21.950000,Fc
IDN,2000-01-01,2000-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,40.370000,Fc
IDN,2001-01-01,2001-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,44.640000,Fc
IDN,2002-01-01,2002-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,58.020000,Fc
IDN,2003-01-01,2003-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,54.570000,Fc
IDN,2004-01-01,2004-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,57.730000,Fc
IDN,2005-01-01,2005-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,60.890000,Fc
IDN,2006-01-01,2006-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,56.780000,Fc
IDN,2007-01-01,2007-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,66.700000,Fc
IDN,2008-01-01,2008-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,84.890000,Fc
IDN,2009-01-01,2009-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,80.460000,Fc
IDN,2010-01-01,2010-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,43.360000,Fc
IDN,2011-01-01,2011-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,84.660000,Fc
IDN,2012-01-01,2012-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,89.210000,Fc
IDN,2013-01-01,2013-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,90.960000,Fc
IDN,2014-01-01,2014-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,95.000000,Fc
IDN,2015-01-01,2015-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,99.080000,Fc
IDN,2016-01-01,2016-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,105.920000,Fc
IDN,2017-01-01,2017-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,134.000000,Fc
IDN,2018-01-01,2018-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,137.760000,Fc
IDN,2019-01-01,2019-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,126.090000,Fc
IDN,1991-01-01,1991-12-31,101,Indonesia,809,Manila fibre (abaca),5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,7.880000,Fc
IDN,1992-01-01,1992-12-31,101,Indonesia,809,Manila fibre (abaca),5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,8.230000,Fc
IDN,1993-01-01,1993-12-31,101,Indonesia,809,Manila fibre (abaca),5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,7.680000,Fc
IDN,1994-01-01,1994-12-31,101,Indonesia,809,Manila fibre (abaca),5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,9.760000,Fc
